;;;;;;;;;;;;;;;;;;
Transporttarieven Royalty Cargo Solutions BV;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
"Aantal Kilometers
Heen & Terug";725;;;;Aantal wachturen;;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Dieseltoeslag:;30;%;;;Incl. ochtend/avond;;Incl. zaterdag;;Incl. zondag;;Incl. wachturen;;;;;;;
Ochtend/avond toeslag:;35;%;;Caddy;€ 1.489,46;;€ 1.654,95;;€ 1.930,78;;€ 1.155,80;;;;;;;
Zaterdagtoeslag:;50;%;;Bus;€ 1.743,93;;€ 1.937,70;;€ 2.260,65;;€ 1.344,30;;;;;;;
Zondagtoeslag:;75;%;;Koel klein;€ 1.896,62;;€ 2.107,35;;€ 2.458,58;;€ 1.457,40;;;;;;;
Wachturen:;52,50;€;;Koel groot;€ 2.100,20;;€ 2.333,55;;€ 2.722,48;;€ 1.608,20;;;;;;;
Extra stop;45,00;€;;Bakbus;€ 2.252,88;;€ 2.503,20;;€ 2.920,40;;€ 1.721,30;;;;;;;
DAF Extra stop;75,00;€;;DAF Truck;€ 3.499,81;;€ 3.888,68;;€ 4.536,79;;€ 2.644,95;;;;;;;
Screenen / aanleveren / elinken / docs;107,50;€;;;;;;;;;;;;;;;;
DAF Screenen / aanleveren / elinken / docs;217,50;€;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Minimum;€ 115,00;;€ 125,00;;€ 125,00;;€ 135,00;;€ 145,00;;€ 275,00;;€ 97,50;;;;;
Type voertuig;Caddy;;Bus;;Koel klein;;Koel groot;;Bakbus;;DAF Truck;;Hoya;;;;;
;Ex. diesel;Inc. diesel;Ex. diesel;Inc. diesel;Ex. diesel;Inc. diesel;Ex. diesel;Inc. diesel;Ex. diesel;Inc. diesel;Ex. diesel;Inc. diesel;Ex. diesel;Inc. diesel;;;;
Tarief (rit A --> B);€ 841,00;€ 1.103,30;€ 986,00;€ 1.291,80;€ 1.073,00;€ 1.404,90;€ 1.189,00;€ 1.555,70;€ 1.276,00;€ 1.668,80;€ 1.986,50;€ 2.592,45;€ 913,50;€ 1.197,55;;;;
Tarief (incl. screenen / aanleveren);€ 948,50;€ 1.210,80;€ 1.093,50;€ 1.399,30;€ 1.180,50;€ 1.512,40;€ 1.296,50;€ 1.663,20;€ 1.383,50;€ 1.776,30;€ 2.204,00;€ 2.809,95;;;;;;
;;;;;;;;;;;;;;;;;;
LET OP, BOVENSTAANDE KOSTEN ZIJN VOOR STANDAARD ZENDINGEN. TARIEVEN VOOR AFWIJKENDE ZENDINGEN / REGIO SCHIPHOL GRAAG IN OVERLEG;;;;;;;;;;;;;;;;;;
